Date,wdf_A01,wdf_A02,wdf_A03,wdf_A04,wdf_A05,wdf_A06,wdf_A07,wdf_A08,wdf_A09,wdf_A10,wdf_A11,wdf_A12,wdf_A13,wdf_A14,wdf_A15,wde_A01,wde_A02,wde_A03,wde_A04,wde_A05,wde_A06,wde_A07,wde_A08,wde_A09,wde_A10,wde_A11,wde_A12,wde_A13,wde_A14,wde_A15
2023-05-01,,,,,,,,,,,,,,,,35.8292,35.2305,35.8122,37.0726,39.3507,39.3507,36.658,36.658,36.658,28.0525,28.0525,28.0525,28.3808,28.3808,28.3808
2023-05-02,,,,,,,,,,,,,,,,36.0513,34.9594,35.5775,36.4984,39.1414,39.1414,36.8505,36.8505,36.8505,28.2685,28.2685,28.2685,28.0708,28.0708,28.0708
2023-05-03,,,,,,,,,,,,,,,,34.2293,33.1044,33.6482,35.7664,38.4733,38.4733,35.8695,35.8695,35.8695,27.3313,27.3313,27.3313,27.1983,27.1983,27.1983
2023-05-04,,,,,,,,,,,,,,,,34.6062,33.257,33.8247,35.454,36.8582,36.8582,35.7508,35.7508,35.7508,27.6073,27.6073,27.6073,27.5605,27.5605,27.5605
2023-05-05,,,,,,,,,,,,,,,,34.0328,32.3625,33.1485,35.2135,35.9483,35.9483,35.4765,35.4765,35.4765,27.0183,27.0183,27.0183,27.0653,27.0653,27.0653
2023-05-08,,,,,,,,,,,,,,,,34.0328,32.3625,33.1485,35.2135,35.9483,35.9483,35.4765,35.4765,35.4765,27.0183,27.0183,27.0183,27.0653,27.0653,27.0653
2023-05-09,,,,,,,,,,,,,,,,36.789,32.9749,33.6291,35.5429,37.5064,37.5064,35.8808,35.8808,35.8808,27.242,27.242,27.242,27.2718,27.2718,27.2718
2023-05-10,,,,,,,,,,,,,,,,36.8141,33.4263,34.1011,35.6971,37.8927,37.8927,35.9873,35.9873,35.9873,27.2668,27.2668,27.2668,27.2843,27.2843,27.2843
2023-05-11,,,,,,,,,,,,,,,,37.57,34.235,34.7302,35.8764,38.8699,38.8699,36.0198,36.0198,36.0198,27.3565,27.3565,27.3565,27.2953,27.2953,27.2953
2023-05-12,,,,,,,,,,,,,,,,36.6274,33.6607,34.1832,35.9889,38.2918,38.2918,36.0145,36.0145,36.0145,27.3565,27.3565,27.3565,27.2893,27.2893,27.2893
2023-05-15,,,,,,,,,,,,,,,,36.2584,33.1168,33.6347,35.6466,37.801,37.801,35.9605,35.9605,35.9605,27.3543,27.3543,27.3543,27.2878,27.2878,27.2878
2023-05-16,,,,,,,,,,,,,,,,37.1463,33.2112,33.8454,35.7084,38.0372,38.0372,36.158,36.158,36.158,27.5863,27.5863,27.5863,27.3575,27.3575,27.3575
2023-05-17,,,,,,,,,,,,,,,,36.8013,33.0439,33.8281,35.7354,38.6278,38.6278,36.1325,36.1325,36.1325,27.3725,27.3725,27.3725,27.3683,27.3683,27.3683
2023-05-18,,,,,,,,,,,,,,,,36.5705,32.7929,33.5816,35.7346,38.1031,38.1031,35.571,35.571,35.571,27.1888,27.1888,27.1888,26.9755,26.9755,26.9755
2023-05-19,,,,,,,,,,,,,,,,36.1341,32.2978,32.7998,35.1637,36.902,36.902,35.4795,35.4795,35.4795,27.1963,27.1963,27.1963,26.941,26.941,26.941
2023-05-22,,,,,,,,,,,,,,,,36.5494,32.0593,32.645,35.2852,36.7917,36.7917,34.8798,34.8798,34.8798,27.215,27.215,27.215,27.011,27.011,27.011
2023-05-23,,,,,,,,,,,,,,,,32.8354,33.183,35.5244,37.6361,37.6361,34.937,34.937,34.937,27.4998,27.4998,27.4998,27.404,27.404,27.404,31.3593
2023-05-24,,,,,,,,,,,,,,,,33.0016,32.7027,35.5274,37.3792,37.3792,34.2018,34.2018,34.2018,27.6605,27.6605,27.6605,27.6225,27.6225,27.6225,31.9303
2023-05-25,,,,,,,,,,,,,,,,33.3199,33.8364,35.5124,37.6421,37.6421,34.138,34.138,34.138,27.6358,27.6358,27.6358,27.6588,27.6588,27.6588,32.0035
2023-05-26,,,,,,,,,,,,,,,,33.4947,34.0445,35.5132,37.6417,37.6417,34.138,34.138,34.138,27.6358,27.6358,27.6358,27.6588,27.6588,27.6588,32.0035
2023-05-30,,,,,,,,,,,,,,,,33.3225,34.0347,35.4974,37.0061,37.0061,34.138,34.138,34.138,27.8428,27.8428,27.8428,27.91,27.91,27.91,31.5453
2023-05-31,,,,,,,,,,,,,,,,33.3942,33.9487,35.7802,36.9968,38.4436,33.9963,33.9963,33.9963,27.8563,27.8563,27.8563,27.9273,27.9273,27.9273,31.6203
2023-06-01,,,,,,,,,,,,,,,,33.4443,33.9122,35.848,36.8256,39.1844,33.9888,33.9888,33.9888,27.8585,27.8585,27.8585,27.9273,27.9273,27.9273,31.6255
2023-06-02,,,,,,,,,,,,,,,,33.824,34.0951,36.0392,37.0828,41.1418,34.133,34.133,34.133,27.8778,27.8778,27.8778,28.0548,28.0548,28.0548,31.4845
2023-06-05,,,,,,,,,,,,,,,,34.1957,34.9582,36.3979,37.5803,41.6807,34.1728,34.1728,34.1728,27.9168,27.9168,27.9168,28.09,28.09,28.09,31.7365
2023-06-06,,,,,,,,,,,,,,,,36.0895,35.9142,36.7361,37.8136,43.5949,34.4798,34.4798,34.4798,28.4345,28.4345,28.4345,28.38,28.38,28.38,31.9738
2023-06-07,,,,,,,,,,,,,,,,35.9636,35.8578,36.7526,37.8893,42.4207,34.6633,34.6633,34.6633,28.6245,28.6245,28.6245,28.4883,28.4883,28.4883,32.51
2023-06-08,,,,,,,,,,,,,,,,35.5768,35.5293,36.7249,37.8751,42.4627,34.9498,34.9498,34.9498,28.7318,28.7318,28.7318,28.5033,28.5033,28.5033,32.1013
2023-06-09,,,,,,,,,,,,,,,,37.147,35.7863,37.1652,38.4497,41.9543,35.0715,35.0715,35.0715,28.831,28.831,28.831,28.5658,28.5658,28.5658,32.3798
2023-06-12,,,,,,,,,,,,,,,,38.0318,36.9115,37.9632,39.6176,43.4004,35.0925,35.0925,35.0925,28.8873,28.8873,28.8873,28.9918,28.9918,28.9918,32.9625
2023-06-13,,,,,,,,,,,,,,,,38.0491,36.9468,37.9587,39.6483,43.4574,35.696,35.696,35.696,28.9065,28.9065,28.9065,29.1393,29.1393,29.1393,33.0253
2023-06-14,,,,,,,,,,,,,,,,38.4345,36.4729,37.7042,39.3675,42.3943,36.0038,36.0038,36.0038,29.8808,29.8808,29.8808,29.425,29.425,29.425,33.2695
2023-06-15,,,,,,,,,,,,,,,,39.1124,37.3253,38.0962,39.7535,43.5181,36.122,36.122,36.122,29.8935,29.8935,29.8935,29.4588,29.4588,29.4588,33.1758
2023-06-16,,,,,,,,,,,,,,,,39.5008,38.0338,39.8995,41.0251,42.6351,36.072,36.072,36.072,29.9935,29.9935,29.9935,29.4603,29.4603,29.4603,33.1743
2023-06-20,,,,,,,,,,,,,,,,37.0541,37.1463,39.3207,40.2959,41.0415,35.8175,35.8175,35.8175,29.925,29.925,29.925,29.3905,29.3905,29.3905,33.239
2023-06-21,,,,,,,,,,,,,,,,36.9039,38.0453,39.2826,40.9124,35.6135,35.6135,35.6135,29.6895,29.6895,29.6895,29.1468,29.1468,29.1468,32.9503,32.9503
2023-06-22,,,,,,,,,,,,,,,,37.1815,38.3695,39.5161,41.482,35.8453,35.8453,35.8453,29.7578,29.7578,29.7578,29.1693,29.1693,29.1693,33.2278,33.2278
2023-06-23,,,,,,,,,,,,,,,,37.6685,38.4771,39.8134,41.825,35.8703,35.8703,35.8703,29.7328,29.7328,29.7328,29.1693,29.1693,29.1693,33.2278,33.2278
2023-06-26,,,,,,,,,,,,,,,,37.5193,38.4243,39.6365,41.7693,35.8703,35.8703,35.8703,29.7328,29.7328,29.7328,29.1655,29.1655,29.1655,33.2315,33.2315
2023-06-27,,,,,,,,,,,,,,,,37.8059,38.9158,40.4398,42.7941,36.75,36.75,36.75,30.8268,30.8268,30.8268,29.4343,29.4343,29.4343,32.385,32.385
2023-06-28,,,,,,,,,,,,,,,,37.6858,39.2087,40.3262,42.202,36.7425,36.7425,36.7425,30.9533,30.9533,30.9533,29.186,29.186,29.186,32.1183,32.1183
2023-06-29,,,,,,,,,,,,,,,,38.7415,40.0857,41.0671,44.1183,36.889,36.889,36.889,31.1598,31.1598,31.1598,29.3203,29.3203,29.3203,32.232,32.232
2023-06-30,,,,,,,,,,,,,,,,38.3887,40.4686,41.3713,42.8287,36.7838,36.7838,36.7838,31.7075,31.7075,31.7075,29.658,29.658,29.658,32.7848,32.7848
