month,base,broker,implied,dev,band,score,flag,effective_weight
A01,63.030000,41.087000,62.390064,-21.303064,0.684539,31.120289,RED,2.134043
A02,42.020000,40.874000,41.617495,-0.743495,0.630631,1.178970,OK,2.514487
A03,43.070500,39.140000,42.839522,-3.699522,0.587119,6.301148,RED,2.901002
A04,40.969500,38.784000,40.825064,-2.041064,0.531676,3.838926,RED,3.537579
A05,38.868500,42.593000,38.663737,3.929263,0.547679,7.174390,RED,3.333863
A06,39.919000,42.593000,39.688398,2.904602,0.503566,5.768063,RED,3.943545
A07,42.020000,42.593000,41.894763,0.698237,0.466008,1.498338,YELLOW,4.604832
A08,44.121000,40.985000,44.063677,-3.078677,0.399594,7.704511,RED,6.262706
A09,43.070500,40.985000,43.014022,-2.029022,0.346820,5.850365,RED,8.313664
A10,39.908495,40.985000,39.839901,1.145099,0.345162,3.317566,RED,8.393691
A11,36.746490,36.954000,36.666935,0.287065,0.341920,0.839568,OK,8.553653
A12,36.328391,36.954000,36.204956,0.749044,0.350084,2.139611,RED,8.159335
A13,35.910292,36.954000,35.789529,1.164471,0.410907,2.833903,RED,5.922602
A14,35.492193,36.954000,35.419332,1.534668,0.397712,3.858738,RED,6.322108
A15,33.951110,36.954000,33.911962,3.042038,0.402758,7.553014,RED,6.164689
