month,base,broker,implied,dev,band,score,flag,effective_weight
A01,273.0,35.884,260.00455245024625,-18.742956469796745,0.04758849534470922,1874.606293251785,RED,10003.315080157287
A02,223.0,34.078,215.5472225911391,-11.208471466398322,2.1814198698421157,24.455754918661814,RED,4.760684116198142
A03,198.0,33.07,194.1367319776203,-7.718127388498026,2.5157604747892175,14.602143105356097,RED,3.579392435472154
A04,183.0,32.5,181.11069302629386,-5.551356604824342,2.509490063998396,10.529011336556326,RED,3.5973022903698495
A05,176.0,28.422,172.3415843075236,-7.786966863010708,2.366424125206131,15.662089087959618,RED,4.045411705321413
A06,166.0,28.422,161.6987815949992,-5.550914013109331,2.039556991277085,12.953961507007275,RED,5.445982037714935
A07,166.0,28.422,163.5409356597112,-5.9379505821053264,1.8870739227981506,14.976889076584431,RED,6.361654350157861
A08,169.0,31.388,168.77362807537804,-4.071339258636929,1.7510814135764314,11.066362754528589,RED,7.3881417366674995
A09,174.75,31.388,174.45134957117625,-5.264228544904132,1.440672356080322,17.391757067733142,RED,10.91484189885554
A10,180.5,31.388,180.06656712878447,-6.4439857537576195,1.4515029889798536,21.130539462624302,RED,10.752563753432545
A11,173.75499999999997,31.388,172.42961948571866,-4.8394630539494905,1.3003657110409046,17.713550388261147,RED,13.397287486438824
A12,167.00999999999996,31.388,165.12248440866983,-3.304233974261532,1.273424285183935,12.350132357001227,RED,13.970168337902626
A13,160.265,31.388,158.67630684301045,-1.949892067716494,1.583182988375143,5.86210246770461,RED,9.038277389101033
A14,156.255,31.388,155.04395113408,-1.1867341332702104,1.428913732337093,3.952950458956707,RED,11.095218907990247
A15,152.245,31.388,151.7305340450561,-0.49058520286628493,1.5142336584530829,1.5420394943624098,YELLOW,9.880117380486185
